,Hash_Trans_ID,PRO,SKU_ID,Transaction_Date_ID,Transaction_Hour_ID,Online_Order_Type_Desc,POS_Sales,POS_UnitsSold,Department_ID,Class_ID,SubClass_ID,Dept_11,Dept_13,Dept_16,Dept_17,Dept_21,Dept_22,Dept_23,Dept_24,Dept_25,Dept_26,Dept_27,Dept_28,Dept_29,Dept_30,Dept_59,Dept_78
75,003b7a96a5f8b1f6cac88abf17d26dfca7b5340e,1,3.0,1,91210,1,2302.98,254.0,2,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.94,0.0,0.0,0.0,0.0,1769.04,0.0,0.0
76,003c4ea8f2709299fa1e57d3e5463c79a786b950,1,2.0,1,131249,1,-80.7,-13.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.7,0.0,0.0,0.0,0.0
77,003d1e75e1abead807676730d754f813418216c7,1,1.0,1,143321,1,564.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564.0,0.0,0.0
78,003d2c571d388e9f20891ac662822a134ebbb335,0,3.0,1,72437,1,449.4,16.0,1,3,3,0.0,0.0,0.0,0.0,449.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,003d67a33cb88668dbd526e0eef9b9513c44c0b6,1,4.0,1,114039,1,416.46,4.0,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,003daa6b3e32c34a62a14f4d48932bd8efab7677,0,1.0,1,115613,1,-5388.0,-1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5388.0,0.0,0.0,0.0,0.0
81,003e67773390bc72f7534b5d1415760e8cae0cee,1,1.0,1,144816,1,1070.16,196.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1070.16,0.0,0.0
82,003ea7231938acb72735fcded0a22b86b0534add,0,3.0,1,133836,1,3875.88,3.0,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3875.88,0.0,0.0,0.0
83,003f211bd80e2dc0e3880e2e06f738e6c19a8edb,1,1.0,1,151015,1,-56.88,-1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,003f27a94cc67183ecedc18ebaea3a34db811211,1,4.0,1,115931,1,392.22,4.0,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.0,0.0,0.0,32.22,0.0,0.0,0.0,0.0,0.0
85,003fc88b94b9a1a7e428e437f1bc4cc25a75a24a,1,1.0,1,103514,1,395.82,3.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,0040f8b720438bb94b735c0d2bc0ec04f4ce02bc,1,3.0,1,124324,1,150.54,13.0,2,2,2,0.0,0.0,0.0,0.0,0.0,84.6,0.0,0.0,65.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,004127a81149efbad04ae7de0bc5aa101ea326c8,0,1.0,1,134306,1,-251.16,-46.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-251.16,0.0,0.0
88,004138ea3b2b9ca544f4ae566075c8fce4eea192,0,5.0,1,112004,1,407.94,11.0,2,4,4,0.0,0.0,0.0,0.0,0.0,0.0,309.6,0.0,0.0,0.0,98.34,0.0,0.0,0.0,0.0,0.0
89,0041fdda30c7d29998b55ec3fc1136a52691c5d5,1,3.0,1,135949,1,2414.2799999999997,12.0,3,3,3,0.0,0.0,0.0,0.0,0.0,2031.12,0.0,0.0,0.0,0.0,323.64,0.0,0.0,59.52,0.0,0.0
90,0042898b4ad98f383de53b2d8104ffe54b899044,1,1.0,1,152719,1,-1614.0,-1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1614.0,0.0,0.0,0.0
